Height,Frequency,Density
89.964,0.200,495.0
90.000,0.203,511.0
95.000,0.961,11400.0
100.000,1.246,19200.0
105.000,1.392,24000.0
110.000,1.438,25600.0
115.000,1.412,24700.0
120.000,1.334,22000.0
122.619,1.269,19900.0
125.000,1.269,19900.0
130.000,1.269,19900.0
135.000,1.269,19900.0
135.238,1.269,19900.0
140.000,1.333,22000.0
145.000,1.400,24300.0
147.857,1.438,25600.0
150.000,1.528,28900.0
155.000,1.747,37800.0
160.000,2.022,50600.0
165.000,2.348,68200.0
170.000,2.638,86200.0
175.000,2.873,102000.0
180.000,3.071,117000.0
185.000,3.246,130000.0
190.000,3.405,144000.0
195.000,3.553,156000.0
200.000,3.690,169000.0
205.000,3.803,179000.0
209.597,3.850,184000.0
210.000,3.850,183000.0
215.000,3.835,182000.0
220.000,3.796,178000.0
225.000,3.738,173000.0
230.000,3.662,166000.0
235.000,3.573,158000.0
240.000,3.472,149000.0
245.000,3.363,140000.0
250.000,3.247,130000.0
255.000,3.126,121000.0
260.000,3.003,112000.0
265.000,2.879,103000.0
270.000,2.755,93900.0
275.000,2.631,85700.0
280.000,2.510,78000.0
285.000,2.390,70700.0
290.000,2.274,64000.0
295.000,2.161,57800.0
300.000,2.052,52100.0
305.000,1.947,46900.0
310.000,1.846,42200.0
315.000,1.749,37900.0
320.000,1.656,33900.0
325.000,1.567,30400.0
330.000,1.482,27200.0
335.000,1.402,24300.0
340.000,1.325,21700.0
345.000,1.252,19400.0
350.000,1.183,17300.0
355.000,1.117,15400.0
360.000,1.055,13800.0
365.000,0.996,12300.0
370.000,0.940,10900.0
375.000,0.887,9730.0
380.000,0.837,8670.0
385.000,0.789,7710.0
390.000,0.745,6860.0
395.000,0.702,6110.0
400.000,0.662,5430.0
405.000,0.625,4830.0
410.000,0.589,4300.0
415.000,0.556,3820.0
420.000,0.524,3400.0
425.000,0.494,3020.0
430.000,0.466,2690.0
435.000,0.439,2390.0
440.000,0.414,2120.0
445.000,0.390,1890.0
450.000,0.368,1680.0
455.000,0.347,1490.0
460.000,0.327,1320.0
465.000,0.308,1180.0
470.000,0.291,1040.0
475.000,0.274,928.0
480.000,0.258,825.0
485.000,0.243,733.0
490.000,0.229,651.0
495.000,0.216,579.0
500.000,0.204,514.0
